method_variant,episode,time_step,state,q_target,q_mixed,gap_scores,visits,critical
Uniform-Equal-H,17,4,"[3, 2, -6, 13, 0, 0, 1, 0, 4, 1]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.8, 0.1]","[1, 1, 1]",False
Uniform-Equal-H,17,5,"[2, 2, -6, 13, 0, 0, 1, 1, 5, 1]","[0.0, 0.0, 0.0]","[0.004792569478352864, 0.023537750244140627, 0.08103836059570313]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[2, 0, 1]",True
Uniform-Equal-H,17,6,"[2, 2, -6, 13, 0, 0, 0, 1, 6, 1]","[0.0, 0.0, 0.0]","[0.1257329305013021, 0.12332967122395833, 0.2641377766927083]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 2, 2]",True
Uniform-Equal-H,17,7,"[1, 1, -5, 13, 0, 0, 0, 1, 7, 1]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.8, 0.1]","[0, 4, 0]",False
Uniform-Equal-H,18,0,"[3, 2, -3, 12, 0, 0, 1, 0, 0, 1]","[0.0, 0.0, 0.0]","[4.017255500455697e-06, 3.070992143948873e-06, 3.4725162128607436e-06]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 1]",True
Uniform-Equal-H,18,1,"[2, 2, -3, 13, 0, 0, 1, 0, 1, 1]","[0.0, 0.0, 0.0]","[3.7082553952932367e-06, 5.1130164782206225e-05, 2.6468800862630208e-05]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1, 0, 0]",True
Uniform-Equal-H,18,2,"[2, 2, -3, 13, 0, 0, 1, 0, 2, 1]","[0.0, 0.0, 0.0]","[8.226673126220705e-05, 0.0005090763219197592, 8.059216817220053e-05]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 1, 0]",True
Uniform-Equal-H,18,3,"[2, 2, -3, 13, 0, 0, 1, 0, 3, 1]","[0.0, 0.0, 0.0]","[0.0004405111948649089, 0.0017326843261718753, 0.0014343475341796876]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 1]",True
Uniform-Equal-H,18,4,"[1, 2, -3, 13, 0, 0, 1, 0, 4, 1]","[0.0, 0.0, 0.0]","[0.0005285847981770834, 0.013528727213541668, 0.003515365600585938]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 1, 0]",True
Uniform-Equal-H,18,5,"[1, 2, -3, 13, 0, 0, 1, 1, 5, 1]","[0.0, 0.0, 0.0]","[0.0013541666666666667, 0.05923908233642578, 0.0834716542561849]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 1]",True
Uniform-Equal-H,18,6,"[1, 2, -3, 13, 0, 0, 0, 1, 6, 1]","[0.0, 0.0, 0.0]","[0.18314005533854166, 0.18243865966796874, 0.20712114969889325]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 1]",True
Uniform-Equal-H,18,7,"[0, 1, -3, 13, 0, 0, 0, 1, 7, 1]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.8, 0.1]","[1, 1, 0]",False
Uniform-Equal-H,19,0,"[2, 2, -1, 13, 0, 0, 1, 0, 1, 0]","[0.0, 0.0, 0.0]","[0.0010373261737823488, 0.0006026216113567355, 0.0004551374085247518]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 1, 0]",True
Uniform-Equal-H,19,1,"[2, 2, -1, 13, 0, 0, 1, 0, 2, 0]","[0.0, 0.0, 0.0]","[0.005961273078123731, 0.004108466847737632, 0.0007530809700489046]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1, 0, 0]",True
