method,target_sut,seed,step,selected_index,safe_neighbor,safe_neighbor_streak,reason,min_ratio,max_ratio,m_neighbors,w_streak
DETOUR-static,SUT-A,8,17,24,,0,selected,,,,
DETOUR-static,SUT-A,8,18,15,,0,selected,,,,
DETOUR-static,SUT-A,8,19,153,,0,selected,,,,
DETOUR-static,SUT-A,8,20,69,,0,selected,,,,
DETOUR-static,SUT-A,8,20,,,0,budget_reached,,,,
DETOUR-within-SUT-static,SUT-A,8,1,66,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,8,2,90,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,8,3,61,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,8,4,24,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,8,5,78,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,8,6,87,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,8,7,2,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,8,8,72,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,8,9,46,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,8,10,38,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,8,11,63,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,8,12,64,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,8,13,37,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,8,14,3,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,8,15,81,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,8,16,75,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,8,17,21,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,8,18,4,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,8,19,45,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,8,20,9,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,8,20,,,0,budget_reached,,,,
DETOUR-static,SUT-A,9,1,81,,0,selected,,,,
DETOUR-static,SUT-A,9,2,133,,0,selected,,,,
DETOUR-static,SUT-A,9,3,109,,0,selected,,,,
DETOUR-static,SUT-A,9,4,74,,0,selected,,,,
DETOUR-static,SUT-A,9,5,167,,0,selected,,,,
DETOUR-static,SUT-A,9,6,103,,0,selected,,,,
DETOUR-static,SUT-A,9,7,157,,0,selected,,,,
DETOUR-static,SUT-A,9,8,141,,0,selected,,,,
DETOUR-static,SUT-A,9,9,98,,0,selected,,,,
DETOUR-static,SUT-A,9,10,101,,0,selected,,,,
DETOUR-static,SUT-A,9,11,106,,0,selected,,,,
DETOUR-static,SUT-A,9,12,181,,0,selected,,,,
DETOUR-static,SUT-A,9,13,173,,0,selected,,,,
DETOUR-static,SUT-A,9,14,189,,0,selected,,,,
DETOUR-static,SUT-A,9,15,39,,0,selected,,,,
DETOUR-static,SUT-A,9,16,77,,0,selected,,,,
DETOUR-static,SUT-A,9,17,69,,0,selected,,,,
DETOUR-static,SUT-A,9,18,85,,0,selected,,,,
DETOUR-static,SUT-A,9,19,113,,0,selected,,,,
DETOUR-static,SUT-A,9,20,165,,0,selected,,,,
DETOUR-static,SUT-A,9,20,,,0,budget_reached,,,,
DETOUR-within-SUT-static,SUT-A,9,1,46,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,9,2,38,,0,selected,,,,
