method,method_variant,task_kind,mode,target_sut,seed,step,scenario_index,scenario_id,selected_reason,visible_target_count_before,collision_offline,critical_offline,cumulative_failures
Random,Random,failure_discovery,static,SUT-A,1,2,59,cutin:g=16.47446283:dv=-5.55743275:mode=fast_intrusion,baseline,0,False,False,0
Random,Random,failure_discovery,static,SUT-A,1,3,117,cutin:g=5.99811486:dv=-4.20727772:mode=cutin_braking,baseline,0,True,True,1
Random,Random,failure_discovery,static,SUT-A,1,4,31,cutin:g=11.54981000:dv=-7.07746112:mode=fast_intrusion,baseline,0,True,True,2
Random,Random,failure_discovery,static,SUT-A,1,5,81,cutin:g=14.21393322:dv=-4.37565663:mode=cutin_braking,baseline,0,False,True,2
Random,Random,failure_discovery,static,SUT-A,1,6,44,cutin:g=19.34997579:dv=-0.07493406:mode=fast_intrusion,baseline,0,False,False,2
Random,Random,failure_discovery,static,SUT-A,1,7,125,cutin:g=10.90589063:dv=-6.32625904:mode=cutin_braking,baseline,0,True,True,3
Random,Random,failure_discovery,static,SUT-A,1,8,7,cutin:g=5.73452454:dv=-6.10210265:mode=fast_intrusion,baseline,0,True,True,4
Random,Random,failure_discovery,static,SUT-A,1,9,170,cutin:g=10.97108135:dv=-0.13737292:mode=lead_braking,baseline,0,False,False,4
Random,Random,failure_discovery,static,SUT-A,1,10,29,cutin:g=28.66255933:dv=-4.04042794:mode=fast_intrusion,baseline,0,False,False,4
Random,Random,failure_discovery,static,SUT-A,1,11,47,cutin:g=12.67781694:dv=-6.64164458:mode=fast_intrusion,baseline,0,True,True,5
Random,Random,failure_discovery,static,SUT-A,1,12,70,cutin:g=18.78663259:dv=1.53360815:mode=cutin_braking,baseline,0,False,False,5
Random,Random,failure_discovery,static,SUT-A,1,13,103,cutin:g=22.94891379:dv=-5.39728549:mode=cutin_braking,baseline,0,False,False,5
Random,Random,failure_discovery,static,SUT-A,1,14,20,cutin:g=15.41947480:dv=-1.90987018:mode=fast_intrusion,baseline,0,False,False,5
Random,Random,failure_discovery,static,SUT-A,1,15,121,cutin:g=18.37679865:dv=-5.11864611:mode=cutin_braking,baseline,0,False,True,5
Random,Random,failure_discovery,static,SUT-A,1,16,54,cutin:g=31.34922519:dv=-1.78253303:mode=fast_intrusion,baseline,0,False,False,5
Random,Random,failure_discovery,static,SUT-A,1,17,190,cutin:g=22.35987292:dv=0.70348581:mode=lead_braking,baseline,0,False,False,5
Random,Random,failure_discovery,static,SUT-A,1,18,24,cutin:g=6.81390808:dv=-1.72524278:mode=fast_intrusion,baseline,0,True,True,6
Random,Random,failure_discovery,static,SUT-A,1,19,22,cutin:g=33.27359624:dv=1.10778441:mode=fast_intrusion,baseline,0,False,False,6
Random,Random,failure_discovery,static,SUT-A,1,20,148,cutin:g=36.93290215:dv=-2.55179956:mode=lead_braking,baseline,0,False,False,6
Nearest-Failure-global,Nearest-Failure-global,failure_discovery,static,SUT-A,1,1,0,cutin:g=10.46185657:dv=-2.70065851:mode=fast_intrusion,baseline,0,False,True,0
Nearest-Failure-global,Nearest-Failure-global,failure_discovery,static,SUT-A,1,2,1,cutin:g=38.61031229:dv=-6.85514550:mode=fast_intrusion,baseline,0,False,False,0
