method,target_sut,seed,checkpoint,selected_count,failure_count,failure_ratio,recall,critical_count
Nearest-Failure-global,SUT-A,19,5,5,2,0.4,0.06060606060606061,4
Nearest-Failure-global,SUT-A,19,10,10,5,0.5,0.15151515151515152,7
Nearest-Failure-global,SUT-A,19,20,20,10,0.5,0.30303030303030304,13
DETOUR-within-SUT-static,SUT-A,19,5,5,4,0.8,0.25,5
DETOUR-within-SUT-static,SUT-A,19,10,10,8,0.8,0.5,9
DETOUR-within-SUT-static,SUT-A,19,20,20,13,0.65,0.8125,15
Random-within-SUT,SUT-A,19,5,5,2,0.4,0.125,2
Random-within-SUT,SUT-A,19,10,10,3,0.3,0.1875,4
Random-within-SUT,SUT-A,19,20,20,5,0.25,0.3125,6
Nearest-Failure-global-within-SUT,SUT-A,19,5,5,4,0.8,0.25,4
Nearest-Failure-global-within-SUT,SUT-A,19,10,10,8,0.8,0.5,9
Nearest-Failure-global-within-SUT,SUT-A,19,20,20,13,0.65,0.8125,17
DETOUR-static,SUT-B,0,5,5,1,0.2,0.09090909090909091,1
DETOUR-static,SUT-B,0,10,10,2,0.2,0.18181818181818182,4
DETOUR-static,SUT-B,0,20,20,6,0.3,0.5454545454545454,10
Random,SUT-B,0,5,5,0,0.0,0.0,1
Random,SUT-B,0,10,10,0,0.0,0.0,1
Random,SUT-B,0,20,20,0,0.0,0.0,3
Nearest-Failure-global,SUT-B,0,5,5,1,0.2,0.09090909090909091,1
Nearest-Failure-global,SUT-B,0,10,10,2,0.2,0.18181818181818182,4
Nearest-Failure-global,SUT-B,0,20,20,5,0.25,0.45454545454545453,9
DETOUR-within-SUT-static,SUT-B,0,5,5,1,0.2,0.3333333333333333,3
DETOUR-within-SUT-static,SUT-B,0,10,10,1,0.1,0.3333333333333333,4
DETOUR-within-SUT-static,SUT-B,0,20,20,1,0.05,0.3333333333333333,4
