repeat,random_seed,protocol,variant,target_sut,executions,collisions,critical_events,first_collision_budget,first_collision_censored,invalid_executions,empty_filters,candidate_attempts,precheck_passed,unique_candidates,sem_above_threshold,duplicate_executions,duplicate_execution_ratio,simulation_seconds,simulation_wall_seconds,candidate_generation_seconds,sem_inference_seconds,collisions_per_simulation_minute,wall_seconds
2,20260919,matched_nm100,RMS-H,SUT-D,20,5,6,9,False,0,0,900,900,900,0,0,0.0,117.4,2.2991127999994205,0.013590400005341507,1.3599972589872777e-05,2.555366269165247,2.4229630999907386
2,20260919,matched_nm100,2SMS-H,SUT-D,20,6,6,3,False,0,0,900,900,900,0,0,0.0,111.20000000000002,2.1761802000110038,0.014455799988354556,2.3000029614195228e-06,3.2374100719424455,2.2990193000005092
2,20260919,matched_nm100,RMS+SEM-H,SUT-D,20,20,20,1,False,0,0,2000,2000,2000,413,0,0.0,34.60000000000001,0.7718166000122437,0.029609400007757358,0.27635330002522096,34.682080924855484,1.209021999995457
2,20260919,matched_nm100,2SMS+SEM-H,SUT-D,20,20,20,1,False,0,0,2000,2000,2000,382,0,0.0,36.400000000000006,0.78891169995768,0.030395099965971895,0.27213169999595266,32.96703296703296,1.2216333000105806
0,20260917,paper_nm,RMS-H,SUT-E,20,2,5,5,False,0,0,21,21,21,0,0,0.0,128.60000000000002,2.5162294999609003,0.0008977999968919903,2.1000014385208488e-06,0.9331259720062207,2.622050100006163
0,20260917,paper_nm,2SMS-H,SUT-E,20,1,2,12,False,0,0,21,21,21,0,0,0.0,135.00000000000003,2.612346499983687,0.0008753000438446179,1.9000144675374031e-06,0.44444444444444436,2.7125803000089945
0,20260917,paper_nm,RMS+SEM-H,SUT-E,20,19,20,1,False,0,0,1900,1900,1900,536,0,0.0,38.800000000000004,0.8469999999651918,0.028186499999719672,0.25726609997218475,29.38144329896907,1.2618376000027638
0,20260917,paper_nm,2SMS+SEM-H,SUT-E,20,20,20,1,False,0,0,2000,2000,2000,578,0,0.0,32.40000000000001,0.7335338999982923,0.029956300000776537,0.26496039995981846,37.03703703703702,1.158508599997731
0,20260917,matched_nm100,RMS-H,SUT-E,20,3,4,2,False,0,0,800,800,800,0,0,0.0,123.80000000000003,2.411950400011847,0.01240549999056384,1.3199998647905886e-05,1.4539579967689817,2.5329192999925
0,20260917,matched_nm100,2SMS-H,SUT-E,20,1,9,3,False,0,0,700,700,700,0,0,0.0,134.80000000000004,2.662480900035007,0.011752900027204305,2.1000014385208488e-06,0.4451038575667654,2.7870889000041643
0,20260917,matched_nm100,RMS+SEM-H,SUT-E,20,19,19,1,False,0,0,1900,1900,1900,490,0,0.0,38.80000000000001,0.8416183000226738,0.029192500005592592,0.25497290001658257,29.381443298969064,1.2551731999992626
0,20260917,matched_nm100,2SMS+SEM-H,SUT-E,20,18,20,1,False,0,0,1800,1800,1800,485,0,0.0,43.00000000000003,0.9414793999894755,0.026797899961820804,0.24369839997962117,25.116279069767426,1.3422953999979654
1,20260918,paper_nm,RMS-H,SUT-E,20,1,4,10,False,0,0,24,24,24,0,0,0.0,134.8,2.7550931999867316,0.0009734000341268256,2.500019036233425e-06,0.4451038575667655,2.859709999989718
1,20260918,paper_nm,2SMS-H,SUT-E,20,0,10,censored,True,0,0,21,21,21,0,0,0.0,140.00000000000003,3.3639032000064617,0.0010442999919177964,1.600012183189392e-06,0.0,3.4930923999927472
1,20260918,paper_nm,RMS+SEM-H,SUT-E,20,17,20,1,False,0,0,1800,1800,1800,501,0,0.0,49.20000000000001,2.2419263999472605,0.07438579997688066,0.5036427999875741,20.731707317073166,3.0712820000044303
