task_id,target_build,method,repeat,budget,effective_horizon,candidate_count,actual_queries,valid_results,failure_detected,first_failure_rank,failure_count,failure_pool_count,failure_recall,early_failure_recall_auc_20
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,5,20,20,109,20,20,True,6,4,12,0.3333333333333333,0.11666666666666665
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,6,1,20,109,1,1,False,,0,12,0.0,0.0
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,6,5,20,109,5,5,False,,0,12,0.0,0.0
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,6,10,20,109,10,10,False,,0,12,0.0,0.0
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,6,20,20,109,20,20,True,11,2,12,0.16666666666666666,0.07083333333333333
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,7,1,20,109,1,1,False,,0,12,0.0,0.0
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,7,5,20,109,5,5,False,,0,12,0.0,0.0
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,7,10,20,109,10,10,True,6,2,12,0.16666666666666666,0.06666666666666667
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,7,20,20,109,20,20,True,6,4,12,0.3333333333333333,0.16250000000000003
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,8,1,20,109,1,1,False,,0,12,0.0,0.0
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,8,5,20,109,5,5,False,,0,12,0.0,0.0
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,8,10,20,109,10,10,True,7,1,12,0.08333333333333333,0.03333333333333333
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,8,20,20,109,20,20,True,7,2,12,0.16666666666666666,0.1
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,9,1,20,109,1,1,False,,0,12,0.0,0.0
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,9,5,20,109,5,5,True,5,1,12,0.08333333333333333,0.016666666666666666
