method,target_sut,repeat,mode,queries,critical_events_found,critical_events_available,critical_recall_at_50
Random,SUT-A,17,lead_braking,14,3,13,0.23076923076923078
Random,SUT-A,17,stop_and_go,7,1,11,0.09090909090909091
Random,SUT-A,17,slow_lead_following,9,2,6,0.3333333333333333
Random,SUT-A,18,fast_intrusion,11,4,11,0.36363636363636365
Random,SUT-A,18,cutin_braking,10,1,10,0.1
Random,SUT-A,18,lead_braking,11,4,13,0.3076923076923077
Random,SUT-A,18,stop_and_go,12,2,11,0.18181818181818182
Random,SUT-A,18,slow_lead_following,6,0,6,0.0
Random,SUT-A,19,fast_intrusion,9,3,11,0.2727272727272727
Random,SUT-A,19,cutin_braking,10,4,10,0.4
Random,SUT-A,19,lead_braking,5,1,13,0.07692307692307693
Random,SUT-A,19,stop_and_go,9,3,11,0.2727272727272727
Random,SUT-A,19,slow_lead_following,17,1,6,0.16666666666666666
DETOUR Hierarchy (K=0),SUT-B,0,fast_intrusion,23,6,6,1.0
DETOUR Hierarchy (K=0),SUT-B,0,cutin_braking,10,7,7,1.0
DETOUR Hierarchy (K=0),SUT-B,0,lead_braking,6,2,4,0.5
DETOUR Hierarchy (K=0),SUT-B,0,stop_and_go,2,2,6,0.3333333333333333
DETOUR Hierarchy (K=0),SUT-B,0,slow_lead_following,9,3,4,0.75
Risk Mining + Adaptation,SUT-B,0,fast_intrusion,8,6,6,1.0
Risk Mining + Adaptation,SUT-B,0,cutin_braking,10,7,7,1.0
Risk Mining + Adaptation,SUT-B,0,lead_braking,11,4,4,1.0
Risk Mining + Adaptation,SUT-B,0,stop_and_go,15,6,6,1.0
Risk Mining + Adaptation,SUT-B,0,slow_lead_following,6,4,4,1.0
Risk Mining + DETOUR Hierarchy,SUT-B,0,fast_intrusion,8,6,6,1.0
Risk Mining + DETOUR Hierarchy,SUT-B,0,cutin_braking,10,7,7,1.0
Risk Mining + DETOUR Hierarchy,SUT-B,0,lead_braking,11,4,4,1.0
Risk Mining + DETOUR Hierarchy,SUT-B,0,stop_and_go,15,6,6,1.0
Risk Mining + DETOUR Hierarchy,SUT-B,0,slow_lead_following,6,4,4,1.0
DETOUR-Guided Risk Diagnosis,SUT-B,0,fast_intrusion,9,6,6,1.0
DETOUR-Guided Risk Diagnosis,SUT-B,0,cutin_braking,10,7,7,1.0
DETOUR-Guided Risk Diagnosis,SUT-B,0,lead_braking,10,4,4,1.0
DETOUR-Guided Risk Diagnosis,SUT-B,0,stop_and_go,15,6,6,1.0
DETOUR-Guided Risk Diagnosis,SUT-B,0,slow_lead_following,6,4,4,1.0
Random,SUT-B,0,fast_intrusion,9,1,6,0.16666666666666666
Random,SUT-B,0,cutin_braking,12,1,7,0.14285714285714285
Random,SUT-B,0,lead_braking,7,1,4,0.25
Random,SUT-B,0,stop_and_go,6,0,6,0.0
Random,SUT-B,0,slow_lead_following,16,0,4,0.0
Random,SUT-B,1,fast_intrusion,13,2,6,0.3333333333333333
Random,SUT-B,1,cutin_braking,9,2,7,0.2857142857142857
Random,SUT-B,1,lead_braking,7,0,4,0.0
Random,SUT-B,1,stop_and_go,8,2,6,0.3333333333333333
Random,SUT-B,1,slow_lead_following,13,2,4,0.5
Random,SUT-B,2,fast_intrusion,14,0,6,0.0
Random,SUT-B,2,cutin_braking,9,1,7,0.14285714285714285
Random,SUT-B,2,lead_braking,11,1,4,0.25
Random,SUT-B,2,stop_and_go,6,1,6,0.16666666666666666
