method,target_sut,repeat,critical_score_at_20,collision_count_at_20,failure_count_at_20,curve
Random,SUT-C,3,5.5,5,6,1.000;2.000;2.000;2.000;2.000;2.000;3.000;3.000;4.000;4.000;4.000;4.000;4.000;4.000;4.000;5.000;5.000;5.000;5.000;5.500
Random Support + Adaptation,SUT-C,3,16.5,16,17,0.000;0.500;0.500;0.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.500;14.500;15.500;16.500
Random,SUT-C,4,4.0,4,4,0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;2.000;2.000;2.000;3.000;3.000;4.000;4.000;4.000;4.000
Random Support + Adaptation,SUT-C,4,18.0,18,18,1.000;2.000;2.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;18.000
Random,SUT-C,5,6.5,6,7,0.500;1.500;1.500;1.500;2.500;3.500;3.500;4.500;4.500;4.500;4.500;4.500;4.500;4.500;4.500;4.500;4.500;4.500;5.500;6.500
Random Support + Adaptation,SUT-C,5,16.0,16,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000
Random,SUT-C,6,3.5,3,4,1.000;1.000;1.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;3.000;3.000;3.500;3.500
Random Support + Adaptation,SUT-C,6,16.0,16,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000
Random,SUT-C,7,8.0,8,8,0.000;0.000;1.000;1.000;2.000;3.000;3.000;3.000;4.000;4.000;4.000;4.000;5.000;5.000;5.000;6.000;7.000;7.000;7.000;8.000
Random Support + Adaptation,SUT-C,7,16.0,16,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000
Random,SUT-C,8,5.0,5,5,0.000;0.000;1.000;1.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;3.000;3.000;3.000;3.000;4.000;5.000;5.000;5.000
Random Support + Adaptation,SUT-C,8,16.0,16,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000
Random,SUT-C,9,2.5,2,3,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.500;0.500;0.500;1.500;2.500;2.500;2.500
Random Support + Adaptation,SUT-C,9,17.0,17,17,1.000;1.000;1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000
Random,SUT-C,10,1.0,1,1,0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000
Random Support + Adaptation,SUT-C,10,17.0,17,17,0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000
Random,SUT-C,11,4.5,4,5,0.000;0.000;0.500;0.500;1.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;3.500;3.500;3.500;3.500;3.500;4.500;4.500;4.500
Random Support + Adaptation,SUT-C,11,17.0,17,17,1.000;1.000;1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000
Random,SUT-C,12,7.0,6,8,0.000;1.000;1.000;2.000;2.000;3.000;4.000;4.000;4.000;4.000;4.500;4.500;4.500;4.500;5.500;6.000;7.000;7.000;7.000;7.000
Random Support + Adaptation,SUT-C,12,16.5,16,17,0.500;0.500;0.500;0.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.500;14.500;15.500;16.500
Random,SUT-C,13,6.0,6,6,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;2.000;2.000;3.000;4.000;4.000;4.000;4.000;4.000;4.000;5.000;6.000
Random Support + Adaptation,SUT-C,13,18.0,18,18,1.000;1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;18.000
Random,SUT-C,14,5.0,5,5,0.000;0.000;0.000;1.000;1.000;1.000;1.000;2.000;2.000;2.000;2.000;3.000;3.000;4.000;5.000;5.000;5.000;5.000;5.000;5.000
Random Support + Adaptation,SUT-C,14,16.0,16,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000
Random,SUT-C,15,2.5,2,3,0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;2.000;2.000;2.000;2.000;2.000;2.500;2.500;2.500
Random Support + Adaptation,SUT-C,15,18.0,18,18,0.000;1.000;2.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;18.000
Random,SUT-C,16,3.0,3,3,1.000;2.000;2.000;2.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000
Random Support + Adaptation,SUT-C,16,17.0,17,17,1.000;1.000;1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000
Random,SUT-C,17,3.0,3,3,0.000;0.000;0.000;0.000;0.000;0.000;1.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;3.000;3.000;3.000;3.000
Random Support + Adaptation,SUT-C,17,18.0,18,18,1.000;1.000;2.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;18.000
Random,SUT-C,18,9.0,9,9,1.000;1.000;1.000;2.000;2.000;3.000;3.000;4.000;5.000;5.000;5.000;5.000;6.000;7.000;8.000;8.000;8.000;8.000;9.000;9.000
Random Support + Adaptation,SUT-C,18,17.0,17,17,1.000;1.000;1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000
Random,SUT-C,19,5.5,5,6,0.000;0.000;0.500;1.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;3.500;3.500;4.500;4.500;4.500;5.500;5.500;5.500;5.500
Random Support + Adaptation,SUT-C,19,16.0,16,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000
Shared Prior,SUT-D,0,16.0,13,19,1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;11.500;12.000;12.500;13.000;14.000;15.000;15.500;15.500;16.000
DIVA Diagnostic + Adaptation,SUT-D,0,14.0,12,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;11.500;12.000;12.500;13.000;14.000
Highest-Risk Support + Adaptation,SUT-D,0,16.0,13,19,1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;11.500;12.000;12.500;13.000;14.000;15.000;15.500;15.500;16.000
