seed,target_sut,coverage,heterogeneity,noise_scale,step,index,event_probability,predicted_severity
20261103,Target-exact-full-1,exact,full,0.3,21,428,1.0,0.9632444933433781
20261103,Target-exact-full-1,exact,full,0.3,22,403,1.0,0.9606650001879278
20261103,Target-exact-full-1,exact,full,0.3,23,534,1.0,0.9583896034899251
20261103,Target-exact-full-1,exact,full,0.3,24,485,1.0,0.9560419636838038
20261103,Target-exact-full-1,exact,full,0.3,25,493,1.0,0.9516880789169664
20261103,Target-exact-full-1,exact,full,0.3,26,497,1.0,0.9431306959466281
20261103,Target-exact-full-1,exact,full,0.3,27,296,1.0,0.8993097239583359
20261103,Target-exact-full-1,exact,full,0.3,28,288,1.0,0.9021663252016607
20261103,Target-exact-full-1,exact,full,0.3,29,272,1.0,0.9059791098834928
20261103,Target-exact-full-1,exact,full,0.3,30,389,1.0,0.8971967151713145
20261103,Target-exact-full-1,exact,full,0.3,31,393,1.0,0.9044751219806115
20261103,Target-exact-full-1,exact,full,0.3,32,397,1.0,0.9070835357277045
20261103,Target-exact-full-1,exact,full,0.3,33,526,1.0,0.8947412506077181
20261103,Target-exact-full-1,exact,full,0.3,34,518,1.0,0.8691075854318674
20261103,Target-exact-full-1,exact,full,0.3,35,286,1.0,0.8500000000000001
20261103,Target-exact-full-1,exact,full,0.3,36,294,1.0,0.8500000000000001
20261103,Target-exact-full-1,exact,full,0.3,37,298,1.0,0.8500000000000001
20261103,Target-exact-full-1,exact,full,0.3,38,387,1.0,0.8499999999999999
20261103,Target-exact-full-1,exact,full,0.3,39,395,1.0,0.8499999999999999
20261103,Target-exact-full-1,exact,full,0.3,40,570,1.0,0.8499999999999999
20261103,Target-exact-full-1,exact,full,0.3,41,574,1.0,0.8499999999999999
20261103,Target-exact-full-1,exact,full,0.3,42,578,1.0,0.8499999999999999
20261103,Target-exact-full-1,exact,full,0.3,43,582,1.0,0.8499999999999999
20261103,Target-exact-full-1,exact,full,0.3,44,586,1.0,0.8499999999999999
20261103,Target-exact-full-1,exact,full,0.3,45,588,1.0,0.8499999999999999
20261103,Target-exact-full-1,exact,full,0.3,46,590,1.0,0.8499999999999999
20261103,Target-exact-full-1,exact,full,0.3,47,592,1.0,0.8499999999999999
20261103,Target-exact-full-1,exact,full,0.3,48,594,1.0,0.8499999999999999
20261103,Target-exact-full-1,exact,full,0.3,49,596,1.0,0.8499999999999999
20261103,Target-exact-full-1,exact,full,0.3,50,598,1.0,0.8499999999999999
20261103,Target-exact-full-2,exact,full,0.3,1,487,1.0,0.9853312896884994
20261103,Target-exact-full-2,exact,full,0.3,2,495,1.0,0.9850987878326863
20261103,Target-exact-full-2,exact,full,0.3,3,87,1.0,0.9818305724516992
20261103,Target-exact-full-2,exact,full,0.3,4,502,1.0,0.9800182563051595
20261103,Target-exact-full-2,exact,full,0.3,5,187,1.0,0.9733884698613895
20261103,Target-exact-full-2,exact,full,0.3,6,195,1.0,0.9729360494639516
20261103,Target-exact-full-2,exact,full,0.3,7,191,1.0,0.9691830603624103
20261103,Target-exact-full-2,exact,full,0.3,8,534,1.0,0.9583898556525849
20261103,Target-exact-full-2,exact,full,0.3,9,292,1.0,0.9579671145957582
20261103,Target-exact-full-2,exact,full,0.3,10,385,1.0,0.8911710245368362
20261103,Target-exact-full-2,exact,full,0.3,11,296,1.0,0.8993059894521349
