subgroup,value,method,budget,seed_target_units,evaluable_units,mean_event_count,mean_event_prevalence,mean_critical_recall
mode,passing_cutin,Mining-DETOUR,50,90,90,26.211111111111112,0.26211111111111113,0.11435034934647148
mode,passing_cutin,AdaTE Global,10,90,90,26.211111111111112,0.26211111111111113,0.01738324288231912
mode,passing_cutin,AdaTE Global,20,90,90,26.211111111111112,0.26211111111111113,0.044832218865467
mode,passing_cutin,AdaTE Global,30,90,90,26.211111111111112,0.26211111111111113,0.06772523157241515
mode,passing_cutin,AdaTE Global,50,90,90,26.211111111111112,0.26211111111111113,0.13282880666687064
mode,passing_cutin,Function-Conditioned Mining,10,90,90,26.211111111111112,0.26211111111111113,0.040017298181610886
mode,passing_cutin,Function-Conditioned Mining,20,90,90,26.211111111111112,0.26211111111111113,0.05138755620505394
mode,passing_cutin,Function-Conditioned Mining,30,90,90,26.211111111111112,0.26211111111111113,0.07547634423872339
mode,passing_cutin,Function-Conditioned Mining,50,90,90,26.211111111111112,0.26211111111111113,0.209122314136581
mode,passing_cutin,Posterior Search (adaptive support),10,90,90,26.211111111111112,0.26211111111111113,0.043560726971081605
mode,passing_cutin,Posterior Search (adaptive support),20,90,90,26.211111111111112,0.26211111111111113,0.07732668802730092
mode,passing_cutin,Posterior Search (adaptive support),30,90,90,26.211111111111112,0.26211111111111113,0.1600114173735872
mode,passing_cutin,Posterior Search (adaptive support),50,90,90,26.211111111111112,0.26211111111111113,0.4425817747576836
regime,core,Random,10,90,90,47.05555555555556,0.1960648148148148,0.01681655780956469
regime,core,Random,20,90,90,47.05555555555556,0.1960648148148148,0.03326049749274771
regime,core,Random,30,90,90,47.05555555555556,0.1960648148148148,0.04958588212550839
regime,core,Random,50,90,90,47.05555555555556,0.1960648148148148,0.08279348488869576
regime,core,DETOUR,10,90,90,47.05555555555556,0.1960648148148148,0.05368777897839232
regime,core,DETOUR,20,90,90,47.05555555555556,0.1960648148148148,0.1096571141973687
regime,core,DETOUR,30,90,90,47.05555555555556,0.1960648148148148,0.1473362063830706
regime,core,DETOUR,50,90,90,47.05555555555556,0.1960648148148148,0.28399693871973625
regime,core,Mining,10,90,90,47.05555555555556,0.1960648148148148,0.042547903379443745
regime,core,Mining,20,90,90,47.05555555555556,0.1960648148148148,0.08326489928390844
regime,core,Mining,30,90,90,47.05555555555556,0.1960648148148148,0.15963286974296134
regime,core,Mining,50,90,90,47.05555555555556,0.1960648148148148,0.3573802844998704
regime,core,Mining-DETOUR,10,90,90,47.05555555555556,0.1960648148148148,0.0432896315893342
regime,core,Mining-DETOUR,20,90,90,47.05555555555556,0.1960648148148148,0.08457680346381492
regime,core,Mining-DETOUR,30,90,90,47.05555555555556,0.1960648148148148,0.16093531560641405
regime,core,Mining-DETOUR,50,90,90,47.05555555555556,0.1960648148148148,0.3557864244917442
regime,core,AdaTE Global,10,90,90,47.05555555555556,0.1960648148148148,0.022871215715312528
regime,core,AdaTE Global,20,90,90,47.05555555555556,0.1960648148148148,0.11880767634401654
regime,core,AdaTE Global,30,90,90,47.05555555555556,0.1960648148148148,0.23590785672792824
regime,core,AdaTE Global,50,90,90,47.05555555555556,0.1960648148148148,0.4219010111932416
regime,core,Function-Conditioned Mining,10,90,90,47.05555555555556,0.1960648148148148,0.028887319542463676
regime,core,Function-Conditioned Mining,20,90,90,47.05555555555556,0.1960648148148148,0.09082531251322279
regime,core,Function-Conditioned Mining,30,90,90,47.05555555555556,0.1960648148148148,0.21781963833249998
regime,core,Function-Conditioned Mining,50,90,90,47.05555555555556,0.1960648148148148,0.4189581876299755
regime,core,Posterior Search (adaptive support),10,90,90,47.05555555555556,0.1960648148148148,0.03024308738886737
regime,core,Posterior Search (adaptive support),20,90,90,47.05555555555556,0.1960648148148148,0.091140715801199
regime,core,Posterior Search (adaptive support),30,90,90,47.05555555555556,0.1960648148148148,0.1602527624260051
regime,core,Posterior Search (adaptive support),50,90,90,47.05555555555556,0.1960648148148148,0.2636427972271889
regime,benign,Random,10,90,0,0.0,0.0,nan
regime,benign,Random,20,90,0,0.0,0.0,nan
regime,benign,Random,30,90,0,0.0,0.0,nan
regime,benign,Random,50,90,0,0.0,0.0,nan
regime,benign,DETOUR,10,90,0,0.0,0.0,nan
regime,benign,DETOUR,20,90,0,0.0,0.0,nan
regime,benign,DETOUR,30,90,0,0.0,0.0,nan
regime,benign,DETOUR,50,90,0,0.0,0.0,nan
regime,benign,Mining,10,90,0,0.0,0.0,nan
regime,benign,Mining,20,90,0,0.0,0.0,nan
