target_sut,rank,scenario_index,scenario_id,mode,predicted_score,collision_offline
SUT-D,100,87,scenario-e45b25f8caf82f68,cutin_braking,0.06329911947250366,0
SUT-D,101,127,scenario-b9f0051de842634a,cutin_braking,0.06305620819330215,0
SUT-D,102,98,scenario-dee0c048d0e570d7,cutin_braking,0.0625237375497818,0
SUT-D,103,120,scenario-b72de359cec81863,cutin_braking,0.0623256079852581,0
SUT-D,104,72,scenario-280d34364cbc6b6d,cutin_braking,0.06203760579228401,0
SUT-D,105,94,scenario-edf93fd35298ced1,cutin_braking,0.061804186552762985,0
SUT-D,106,102,scenario-0960ba07db29a03f,cutin_braking,0.06131991744041443,0
SUT-D,107,114,scenario-93f6da08dff06c74,cutin_braking,0.061299484223127365,0
SUT-D,108,86,scenario-67f2e3f689efa5e0,cutin_braking,0.06128844991326332,0
SUT-D,109,126,scenario-950ddf97e1710e5c,cutin_braking,0.061177000403404236,0
SUT-D,110,110,scenario-bb00b5dbea49aa0a,cutin_braking,0.061157092452049255,0
SUT-D,111,82,scenario-b7d7ce8b562fe978,cutin_braking,0.06078987568616867,0
SUT-D,112,122,scenario-10156dd7a91de447,cutin_braking,0.0604967437684536,0
SUT-D,113,78,scenario-5bd1c8ae3103ba2f,cutin_braking,0.060442935675382614,0
SUT-D,114,43,scenario-0cff04f4cb138f68,fast_intrusion,0.053909529000520706,0
SUT-D,115,56,scenario-7d792c2f9d2e2172,fast_intrusion,0.04527607932686806,1
SUT-D,116,49,scenario-14be714fd081ba9f,fast_intrusion,0.04253324121236801,0
SUT-D,117,1,scenario-06e732de208109c3,fast_intrusion,0.04251428321003914,0
SUT-D,118,182,scenario-757e70f0d94e8633,lead_braking,0.04248453304171562,0
SUT-D,119,135,scenario-0dd2ff55541f2f49,lead_braking,0.040990281850099564,0
SUT-D,120,129,scenario-370eb5e52aeab008,lead_braking,0.04091407731175423,0
SUT-D,121,3,scenario-5b40e94359f00aa4,fast_intrusion,0.034803636372089386,0
SUT-D,122,25,scenario-7345f3aa46ebd2f9,fast_intrusion,0.034417249262332916,0
SUT-D,123,62,scenario-2bd6237484872972,fast_intrusion,0.03342069312930107,0
SUT-D,124,45,scenario-69dc22df81561b65,fast_intrusion,0.033133383840322495,0
SUT-D,125,22,scenario-5656fab18832599e,fast_intrusion,0.03309130296111107,0
SUT-D,126,38,scenario-bc7b31136daf6313,fast_intrusion,0.033047694712877274,0
SUT-D,127,14,scenario-6aeacb97ad00bdd8,fast_intrusion,0.03300594910979271,0
SUT-D,128,2,scenario-e2f4f08814a61a01,fast_intrusion,0.03294963389635086,0
SUT-D,129,46,scenario-c2ee1f14d428278f,fast_intrusion,0.03288554027676582,0
SUT-D,130,147,scenario-1bb35a75a5c3e0f1,lead_braking,0.032792624086141586,0
SUT-D,131,30,scenario-6a51d720097ca006,fast_intrusion,0.03275766596198082,0
SUT-D,132,42,scenario-e7e0fba002356b9b,fast_intrusion,0.03266865760087967,0
SUT-D,133,6,scenario-54c543bd7c8960ac,fast_intrusion,0.0326303131878376,0
SUT-D,134,28,scenario-383478f978bc7c38,fast_intrusion,0.03259459510445595,0
SUT-D,135,33,scenario-d58af260e3aa4e49,fast_intrusion,0.03249634429812431,0
SUT-D,136,18,scenario-93c523ad6b5821bc,fast_intrusion,0.03247862681746483,0
SUT-D,137,50,scenario-ca8a202931570bfd,fast_intrusion,0.03247203677892685,0
SUT-D,138,26,scenario-2835ecddb656b3cb,fast_intrusion,0.032324302941560745,0
SUT-D,139,54,scenario-05c63500740123be,fast_intrusion,0.03230629116296768,0
SUT-D,140,57,scenario-8cc278e2f11e506d,fast_intrusion,0.03229472413659096,0
SUT-D,141,17,scenario-ce6429c68968a29c,fast_intrusion,0.032246001064777374,0
SUT-D,142,9,scenario-63e9e44a0014b442,fast_intrusion,0.03209485486149788,0
SUT-D,143,48,scenario-5cceeb05b909d4e9,fast_intrusion,0.03197101503610611,0
SUT-D,144,34,scenario-3dfb78d9cf4e0e5c,fast_intrusion,0.03188860043883324,0
SUT-D,145,29,scenario-1510a1e2f2e40c72,fast_intrusion,0.03182749077677727,0
SUT-D,146,44,scenario-da22bd23ad7f2864,fast_intrusion,0.03179549053311348,0
SUT-D,147,10,scenario-6ef86e3cdb856e4d,fast_intrusion,0.03172164037823677,0
SUT-D,148,58,scenario-6936e9e25dadcf8d,fast_intrusion,0.03161925449967384,0
