method,budget,repeat,target_sut,estimate,target_mu,signed_error,absolute_error,relative_absolute_error,freeze_sha256
Handcrafted-Similarity,5,8,SUT-E,0.0,0.078125,-0.078125,0.078125,1.0,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Handcrafted-Similarity,5,8,SUT-F,0.39273858842021864,0.3489583333333333,0.04378025508688532,0.04378025508688532,0.1254598354728654,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-Similarity-H,5,8,SUT-E,0.17262008041143417,0.078125,0.09449508041143417,0.09449508041143417,1.2095370292663574,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-Similarity-H,5,8,SUT-F,0.3116699233651161,0.3489583333333333,-0.037288409968217195,0.037288409968217195,0.10685633901339854,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
NoSimilarity-Optimized,5,8,SUT-E,0.0,0.078125,-0.078125,0.078125,1.0,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
NoSimilarity-Optimized,5,8,SUT-F,0.4,0.3489583333333333,0.05104166666666671,0.05104166666666671,0.14626865671641803,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
CMC,5,9,SUT-E,0.2,0.078125,0.12187500000000001,0.12187500000000001,1.56,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
CMC,5,9,SUT-F,0.2,0.3489583333333333,-0.1489583333333333,0.1489583333333333,0.42686567164179096,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Uniform,5,9,SUT-E,0.0,0.078125,-0.078125,0.078125,1.0,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Uniform,5,9,SUT-F,0.4,0.3489583333333333,0.05104166666666671,0.05104166666666671,0.14626865671641803,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
IS,5,9,SUT-E,0.03887076181018584,0.078125,-0.03925423818981416,0.03925423818981416,0.5024542488296213,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
IS,5,9,SUT-F,0.3402698920710319,0.3489583333333333,-0.008688441262301394,0.008688441262301394,0.024898219736744293,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-RandomSet,5,9,SUT-E,0.17164672911167145,0.078125,0.09352172911167145,0.09352172911167145,1.1970781326293944,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-RandomSet,5,9,SUT-F,0.5882730931043625,0.3489583333333333,0.23931475977102917,0.23931475977102917,0.6857975205378747,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Handcrafted-Similarity,5,9,SUT-E,0.19008595091568056,0.078125,0.11196095091568056,0.11196095091568056,1.4331001717207112,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Handcrafted-Similarity,5,9,SUT-F,0.3678150144697583,0.3489583333333333,0.01885668113642497,0.01885668113642497,0.05403705639094917,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-Similarity-H,5,9,SUT-E,0.06119322404265404,0.078125,-0.016931775957345963,0.016931775957345963,0.21672673225402833,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-Similarity-H,5,9,SUT-F,0.24954317323863506,0.3489583333333333,-0.09941516009469825,0.09941516009469825,0.2848912050474935,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
NoSimilarity-Optimized,5,9,SUT-E,0.2,0.078125,0.12187500000000001,0.12187500000000001,1.56,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
